,make,model,year,mileage,fuel,power,transmission,price
951,Ford,Focus,2015,73045,Petrol,123,Manual,8175
952,Volkswagen,Polo,2012,56889,Diesel,74,Manual,6020
953,Renault,Kadjar,2017,27623,Diesel,129,Manual,15160
954,Ford,Focus,2018,11393,Petrol,123,Manual,21000
955,Vauxhall,Corsa,2020,2367,Diesel,101,Manual,15450
956,Ford,Fiesta,2019,4758,Petrol,123,Manual,18990
957,2000,BMW,2000,41186,Petrol,394,Manual,100000
958,Rolls-Royce,Cullinan,2019,8370,Petrol,563,Automatic,309950
959,McLaren,570S,2020,3000,Petrol,562,Automatic,126995
960,BMW,5,2014,120000,Diesel,181,Automatic,13490
961,Nissan,Qashqai,2017,32106,Petrol,113,Automatic,16990
962,Citroen,C3,2021,1059,Petrol,109,Automatic,17999
963,Fiat,500,2017,35000,Petrol,69,Manual,8490
964,BMW,3,2012,76000,Diesel,181,Automatic,12499
965,Ford,Ka,2009,43000,Petrol,68,Manual,2975
966,Volkswagen,Golf,2018,21754,Petrol,128,Manual,16599
967,Mercedes-Benz,A-Class,2019,12240,Petrol,134,Manual,23999
968,MINI,Mini,2017,17587,Petrol,134,Manual,12599
969,Volkswagen,Polo,2019,22000,Petrol,94,Manual,14799
970,Nissan,Juke,2021,1195,Petrol,113,Manual,21999
971,Volkswagen,Polo,2020,5500,Petrol,94,Manual,12995
972,Peugeot,2008,2018,34277,Petrol,82,Manual,12999
973,Ford,Fiesta,2018,23872,Petrol,99,Manual,11599
974,Vauxhall,Mokka,2017,18181,Petrol,138,Manual,12999
975,Ford,Fiesta,2019,9804,Petrol,123,Manual,15599
976,Nissan,Qashqai,2017,34048,Petrol,113,Manual,13999
977,Audi,A3,2018,19645,Petrol,114,Automatic,17999
978,BMW,2,2018,4416,Petrol,138,Automatic,20999
979,Fiat,500,2018,24302,Petrol,84,Manual,8995
980,Dacia,Duster,2018,40577,Petrol,115,Manual,13000
981,Ford,Focus,2019,24165,Petrol,123,Manual,17600
982,Toyota,C-HR,2018,32861,Hybrid,121,Automatic,21900
983,Alfa,Romeo,2018,28490,Petrol,276,Automatic,27550
984,Ford,Kuga,2019,26041,Petrol,148,Manual,20650
985,Fiat,500,2019,15355,Petrol,68,Manual,7875
986,Nissan,Qashqai,2016,18286,Petrol,113,Automatic,17075
987,Vauxhall,Mokka,2018,27530,Petrol,138,Automatic,16025
988,Mitsubishi,Outlander,2019,13228,Petrol,148,Automatic,24350
989,Ford,C-MAX,2019,7353,Petrol,148,Automatic,17700
990,BMW,4,2017,20592,Petrol,248,Automatic,24675
991,Honda,CR-V,2020,12078,Petrol,170,Manual,24150
992,Kia,e,2020,9677,Electric,201,Automatic,33125
993,Seat,Arona,2021,2601,Petrol,94,Manual,16825
994,MINI,Mini,2016,44153,Petrol,228,Automatic,19025
995,MINI,Mini,2019,14044,Petrol,189,Manual,21275
996,Fiat,Panda,2021,6945,Petrol,88,Manual,14250
997,Honda,Jazz,2016,12157,Petrol,101,Automatic,13500
998,Toyota,GT86,2018,11128,Petrol,197,Manual,25400
999,Peugeot,2008,2015,40122,Petrol,82,Manual,8700
1000,Toyota,Yaris,2021,2200,Petrol,257,Manual,36000
1001,Ford,Mustang,2016,29583,Petrol,410,Automatic,33750
1002,Audi,A3,2019,16195,Petrol,148,Automatic,24050
1003,Toyota,Yaris,2017,34320,Hybrid,99,Automatic,14625
1004,Peugeot,208,2020,17299,Hybrid,134,Automatic,21875
1005,Hyundai,Tucson,2018,30332,Petrol,130,Manual,16700
1006,Toyota,Auris,2017,19606,Hybrid,134,Automatic,16350
1007,Mercedes-Benz,C-Class,2018,26789,Petrol,469,Automatic,45425
1008,Toyota,C-HR,2018,16792,Hybrid,121,Automatic,23700
1009,Abarth,595C,2019,6463,Petrol,162,Manual,17550
1010,MINI,Mini,2018,23735,Petrol,189,Manual,20850
1011,Nissan,Qashqai,2018,18066,Petrol,140,Manual,21375
1012,MINI,Mini,2015,24521,Petrol,189,Manual,20500
1013,Jeep,Renegade,2018,31665,Petrol,118,Manual,14225
1014,Volvo,V40,2018,6645,Petrol,150,Automatic,21400
1015,Fiat,500,2018,13893,Petrol,68,Manual,9275
1016,Audi,A3,2019,26093,Petrol,148,Manual,18550
1017,Vauxhall,Astra,2018,10356,Petrol,148,Automatic,14450
1018,Mercedes-Benz,C-Class,2018,25610,Petrol,181,Automatic,23250
1019,Tesla,Model,2020,10205,Electric,469,Automatic,45900
1020,Audi,S5,2017,23834,Petrol,349,Automatic,32025
1021,MINI,Mini,2017,16323,Petrol,134,Automatic,15850
1022,Seat,Arona,2020,4941,Petrol,114,Manual,17950
1023,Volkswagen,Polo,2018,23314,Petrol,74,Manual,12550
1024,Fiat,500,2018,7955,Petrol,68,Manual,8525
1025,Honda,Jazz,2018,22091,Petrol,129,Automatic,15600
1026,Kia,Picanto,2019,4780,Petrol,83,Automatic,14800
1027,Ford,Fiesta,2019,15200,Petrol,84,Manual,11075
1028,Ford,Focus,2018,28787,Petrol,123,Manual,14475
1029,Citroen,C3,2018,12497,Petrol,80,Manual,13400
1030,Volvo,V40,2018,11581,Petrol,150,Automatic,19800
1031,Mazda,Mazda6,2018,21744,Petrol,163,Manual,20200
1032,Mazda,Mazda3,2014,65867,Petrol,118,Automatic,9800
1033,Volkswagen,Golf,2018,20312,Petrol,306,Automatic,28450
1034,Volvo,XC40,2020,7850,Petrol,161,Automatic,36225
1035,Mazda,MX-5,2019,6520,Petrol,181,Manual,23025
1036,Seat,Leon,2016,31567,Petrol,150,Manual,12825
1037,Toyota,Yaris,2019,7739,Petrol,110,Manual,13150
1038,Nissan,Micra,2018,19469,Petrol,88,Manual,11999
1039,Kia,Sportage,2019,8010,Petrol,130,Manual,20425
1040,Volkswagen,Golf,2020,11926,Petrol,241,Automatic,30150
1041,Mercedes-Benz,A-Class,2019,24034,Petrol,134,Automatic,24975
1042,BMW,2,2019,16431,Petrol,405,Manual,44675
1043,Vauxhall,Crossland,2020,1314,Petrol,128,Automatic,18525
1044,Ford,Fiesta,2019,768,Petrol,99,Manual,15625
1045,Mitsubishi,Eclipse,2018,19413,Petrol,161,Manual,17225
1046,Smart,forfour,2017,12645,Petrol,71,Manual,8450
1047,Porsche,Macan,2019,5385,Petrol,349,Automatic,59225
1048,Vauxhall,Astra,2017,15470,Petrol,99,Manual,12690
1049,Ford,Fiesta,2014,67000,Petrol,180,Manual,8995
1050,Vauxhall,Corsa,2020,6346,Petrol,74,Manual,13400
1051,Nissan,Qashqai,2018,29611,Petrol,113,Manual,14290
1052,Peugeot,208,2013,59000,Petrol,200,Manual,6795
1053,Fiat,500,2013,57000,Petrol,135,Manual,6995
1054,Skoda,Octavia,2019,10248,Petrol,148,Automatic,18000
1055,Ford,Grand,2018,19173,Petrol,123,Manual,15990
1056,BMW,1,2018,47291,Petrol,134,Manual,14500
1057,BMW,5,2018,25134,Petrol,335,Automatic,35700
1058,BMW,X1,2018,25235,Petrol,138,Manual,20800
1059,Smart,fortwo,2018,15489,Petrol,71,Automatic,10700
1060,Ford,Mondeo,2017,51744,Petrol,158,Manual,12700
1061,Volkswagen,Scirocco,2016,49326,Petrol,178,Manual,15300
1062,Hyundai,ix20,2017,16601,Petrol,89,Manual,11500
1063,Suzuki,Vitara,2018,55497,Petrol,138,Automatic,17100
1064,Mercedes-Benz,A-Class,2019,19442,Petrol,302,Automatic,34399
1065,Audi,Q3,2017,15455,Petrol,148,Automatic,26000
1066,Audi,A3,2019,15544,Petrol,148,Manual,19500
1067,Hyundai,i30,2021,3754,Hybrid,158,Automatic,24269
1068,Audi,A3,2017,40899,Petrol,148,Automatic,17750
1069,Audi,Q2,2019,6321,Petrol,296,Automatic,34000
1070,Audi,Q3,2019,11555,Petrol,188,Automatic,35000
1071,Hyundai,Kona,2018,30916,Petrol,118,Manual,14569
1072,Audi,A3,2018,38502,Petrol,148,Manual,22495
1073,Volkswagen,Golf,2018,21454,Petrol,108,Manual,15695
1074,BMW,i3,2015,63149,Hybrid,168,Automatic,14499
1075,Citroen,DS3,2014,76154,Petrol,82,Manual,4690
1076,Audi,RS4,2007,55453,Petrol,420,Manual,17999
1077,Audi,A1,2011,48000,Petrol,122,Manual,7699
1078,BMW,1,2015,41528,Petrol,134,Manual,12800
1079,Vauxhall,Astra,2015,46000,Petrol,98,Manual,6700
1080,Renault,Clio,2017,12915,Petrol,72,Manual,10850
1081,Volkswagen,Golf,2018,29014,Diesel,182,Automatic,22930
1082,Ford,Kuga,2019,5411,Petrol,148,Manual,24799
1083,Vauxhall,Corsa,2020,9840,Petrol,74,Manual,12999
1084,Kia,Sportage,2019,28693,Diesel,134,Manual,21690
1085,Volkswagen,Polo,2015,31379,Petrol,74,Manual,10299
1086,Volkswagen,Golf,2013,43732,Petrol,120,Manual,9300
1087,Renault,Captur,2019,19089,Petrol,88,Manual,12900
1088,MINI,HATCH,2015,42721,Diesel,168,Manual,12630
1089,MINI,Mini,2018,33000,Petrol,134,Manual,14999
1090,Vauxhall,Mokka,2017,25348,Petrol,138,Manual,12999
1091,Mercedes-Benz,A-Class,2018,32357,Petrol,102,Manual,18499
1092,Renault,Kadjar,2018,9006,Petrol,130,Manual,16960
1093,Peugeot,107,2014,45768,Petrol,68,Manual,3775
1094,Ford,Fiesta,2016,38167,Petrol,80,Manual,8499
1095,BMW,2,2018,7711,Petrol,138,Manual,18899
1096,BMW,1,2017,23813,Petrol,335,Automatic,25399
1097,Vauxhall,ADAM,2018,18656,Petrol,69,Manual,9499
1098,Hyundai,I10,2017,24507,Petrol,65,Manual,8630
1099,Ford,Focus,2018,39071,Petrol,123,Manual,16299
1100,Audi,A1,2015,43221,Petrol,123,Manual,12000
1101,Mercedes-Benz,C,2015,46572,Diesel,170,Automatic,15850
1102,Mercedes-Benz,C-Class,2019,18265,Petrol,255,Automatic,29999
1103,Mercedes-Benz,A,2017,31712,Petrol,102,Manual,17120
1104,Volvo,V60,2018,22281,Petrol,246,Automatic,25320
1105,Renault,Captur,2021,37,Petrol,90,Manual,21490
1106,SEAT,Leon,2014,50587,Diesel,105,Automatic,8840
1107,Mercedes-Benz,C-Class,2016,31605,Petrol,184,Manual,19999
1108,Mercedes-Benz,C-Class,2017,12621,Petrol,184,Automatic,24999
1109,Citroen,C3,2020,7142,Petrol,82,Manual,13690
1110,Ford,Ka+,2019,6484,Petrol,69,Manual,12000
1111,Audi,Q3,2017,34160,Diesel,148,Manual,20991
1112,Audi,A3,2018,8508,Petrol,148,Manual,19199
1113,Land,Rover,2015,49242,Diesel,288,Automatic,32490
1114,Citroen,C3,2019,12887,Petrol,82,Manual,12995
1115,Ford,Fiesta,2020,11488,Petrol,123,Manual,19000
1116,Ford,EcoSport,2018,7360,Petrol,123,Manual,17499
1117,Ford,Fiesta,2020,11343,Petrol,94,Manual,18799
1118,Ford,Fiesta,2020,11512,Petrol,123,Manual,19000
1119,Ford,Fiesta,2014,37308,Petrol,95,Manual,7290
1120,Ford,Fiesta,2021,11442,Petrol,153,Manual,21000
1121,Ford,Fiesta,2015,29283,Petrol,99,Manual,10660
1122,Ford,Focus,2017,25132,Petrol,345,Manual,31499
1123,Ford,Focus,2019,19464,Petrol,148,Manual,21599
1124,Ford,Fiesta,2014,39882,Petrol,80,Manual,7499
1125,Kia,Sportage,2019,17830,Petrol,174,Automatic,26495
1126,BMW,6,2015,45665,Diesel,308,Automatic,19570
1127,Citroen,C3,2019,38420,Diesel,101,Manual,14572
1128,Ford,Focus,2019,12090,Petrol,180,Automatic,25999
1129,Ford,Kuga,2020,2132,Hybrid,222,Automatic,35000
1130,Ford,Kuga,2018,14814,Diesel,148,Manual,21090
1131,Ford,Kuga,2020,11318,Petrol,148,Manual,27499
1132,Ford,EcoSport,2020,6888,Petrol,123,Manual,20000
1133,Audi,A6,2018,24935,Petrol,187,Automatic,21999
1134,Ford,Puma,2020,12565,Petrol,123,Manual,23660
1135,Ford,Focus,2020,4784,Petrol,125,Manual,23560
1136,Ford,Focus,2019,21187,Petrol,123,Manual,18000
1137,Ford,Fiesta,2017,29359,Petrol,180,Manual,15000
1138,Citroen,C3,2021,16664,Diesel,101,Manual,14460
1139,Mercedes-Benz,A-Class,2018,25000,Petrol,161,Manual,24499
1140,BMW,1,2019,28647,Petrol,134,Manual,18000
1141,Jaguar,XF,2013,77041,Diesel,200,Automatic,10570
1142,BMW,1,2018,32014,Petrol,335,Automatic,26320
1143,Vauxhall,Corsa,2019,13854,Petrol,89,Manual,11490
1144,Vauxhall,Corsa,2016,36000,Petrol,113,Manual,8990
1145,Vauxhall,ADAM,2019,5360,Petrol,69,Manual,13000
1146,Skoda,Karoq,2019,15181,Petrol,148,Automatic,25990
1147,Volkswagen,Golf,2020,4500,Hybrid,148,Automatic,28500
1148,BMW,M4,2017,15457,Petrol,453,Automatic,55910
1149,Citroen,Grand,2018,15535,Petrol,128,Manual,22750
1150,Seat,Leon,2018,20448,Petrol,123,Manual,15490
1151,Vauxhall,Astra,2017,25266,Petrol,148,Manual,12000
1152,Seat,Ibiza,2019,5515,Petrol,79,Manual,12990
1153,Vauxhall,Crossland,2020,10895,Petrol,108,Manual,16160
1154,MINI,Mini,2013,57098,Petrol,120,Manual,8000
1155,Subaru,BRZ,2015,76464,Petrol,200,Manual,12990
1156,BMW,2,2019,22258,Petrol,189,Automatic,26500
1157,Vauxhall,Mokka,2018,37835,Diesel,134,Manual,13919
1158,Vauxhall,Mokka,2016,30102,Petrol,138,Manual,13495
1159,Land,Rover,2018,34332,Diesel,178,Automatic,33480
1160,Fiat,500,2014,38018,Petrol,69,Manual,6500
1161,Ford,Kuga,2020,1340,Hybrid,222,Automatic,36500
1162,Ford,Kuga,2017,25120,Petrol,148,Manual,14890
1163,Volkswagen,Golf,2012,72762,Petrol,159,Manual,7490
1164,Vauxhall,Crossland,2019,15737,Petrol,128,Manual,16500
1165,Citroen,C5,2019,20947,Petrol,178,Automatic,24662
1166,Vauxhall,Grandland,2020,5000,Petrol,128,Manual,23995
1167,Renault,Captur,2019,16911,Petrol,88,Manual,15945
1168,Audi,A4,2019,13711,Petrol,148,Automatic,24531
1169,Dacia,Sandero,2017,42202,Petrol,72,Manual,6280
1170,Renault,Captur,2018,26689,Petrol,90,Manual,13250
1171,Vauxhall,Corsa,2019,8589,Petrol,89,Manual,11700
1172,Nissan,Qashqai,2020,2838,Petrol,140,Manual,23460
1173,Vauxhall,Mokka,2018,12129,Petrol,138,Automatic,17990
1174,Ford,Ecosport,2020,7177,Petrol,123,Manual,18200
1175,Fiat,500,2021,2544,Petrol,68,Manual,12500
1176,Peugeot,3008,2019,7743,Petrol,129,Automatic,30789
1177,Land,Rover,2015,38134,Diesel,190,Automatic,24440
1178,Peugeot,3008,2019,15685,Petrol,129,Automatic,29989
1179,Ford,Focus,2019,19476,Petrol,123,Manual,18600
1180,Seat,Ibiza,2020,5748,Petrol,94,Manual,13933
1181,Ford,Focus,2020,12984,Petrol,123,Manual,19710
1182,Ford,Fiesta,2018,11442,Petrol,99,Manual,15000
1183,Ford,Kuga,2019,10741,Diesel,148,Manual,21990
1184,Ford,Focus,2019,21183,Petrol,276,Manual,27960
1185,Peugeot,3008,2018,15089,Petrol,165,Automatic,25989
1186,Skoda,Octavia,2019,19607,Petrol,114,Automatic,16506
1187,Fiat,500,2014,21376,Petrol,69,Manual,6210
1188,Nissan,Juke,2021,269,Petrol,113,Automatic,25800
1189,Mercedes-Benz,A,2020,10312,Petrol,221,Automatic,34790
1190,Peugeot,3008,2019,12521,Petrol,129,Manual,25589
1191,Peugeot,3008,2019,24783,Petrol,129,Automatic,28889
1192,Nissan,Qashqai,2019,20001,Petrol,140,Manual,18995
1193,Vauxhall,Crossland,2020,5900,Petrol,108,Manual,17980
1194,Ford,Fiesta,2017,11780,Petrol,123,Manual,13530
1195,BMW,X4,2016,62921,Diesel,255,Automatic,23910
1196,Ford,Fiesta,2013,94152,Petrol,79,Manual,4980
1197,Peugeot,3008,2018,8636,Petrol,130,Manual,26489
1198,Ford,Focus,2014,47427,Petrol,99,Manual,6670
1199,Toyota,Yaris,2016,19207,Hybrid,134,Automatic,14650
1200,Ford,Focus,2020,16792,Petrol,123,Manual,20440
1201,Volkswagen,Polo,2019,9348,Petrol,64,Manual,14700
1202,Vauxhall,Grandland,2018,27260,Petrol,128,Automatic,19291
1203,MINI,HATCH,2018,21845,Petrol,101,Manual,12050
1204,Vauxhall,Corsa,2021,100,Petrol,99,Manual,17768
1205,MINI,HATCH,2017,36880,Petrol,228,Manual,16991
1206,Nissan,Juke,2020,7897,Petrol,115,Manual,20999
1207,Vauxhall,Astra,2016,43212,Petrol,99,Manual,11495
1208,Nissan,370Z,2017,27169,Petrol,339,Manual,28991
1209,Citroen,Grand,2017,41691,Diesel,118,Automatic,16300
1210,Porsche,944,1991,73471,Petrol,247,Automatic,30000
1211,Ford,Focus,2005,79150,Petrol,101,Automatic,2295
1212,Volkswagen,Golf,2013,80878,Diesel,108,Manual,7295
1213,Peugeot,208,2016,53537,Petrol,208,Manual,9799
1214,Kia,ceed,2019,43509,Petrol,138,Manual,15299
1215,Mercedes-Benz,C-Class,2011,71192,Petrol,457,Automatic,21350
1216,Audi,Q3,2017,23140,Petrol,148,Automatic,21425
1217,Land,Rover,2005,146821,Diesel,174,Automatic,5995
1218,Ford,Focus,2011,95946,Diesel,109,Manual,3995
1219,Suzuki,Jimny,2005,142000,Petrol,80,Manual,3495
1220,Ford,Fiesta,2017,29122,Petrol,99,Manual,9490
1221,Vauxhall,Astra,2015,54000,Petrol,115,Manual,5000
1222,Vauxhall,Corsa,2008,86000,Petrol,79,Manual,1995
1223,Vauxhall,Insignia,2019,36479,Petrol,163,Manual,15990
1224,Ford,Focus,2005,150242,Petrol,116,Manual,899
1225,BMW,1,2014,72982,Petrol,134,Manual,8947
1226,Vauxhall,Insignia,2018,17870,Petrol,163,Manual,15795
1227,Audi,A3,2018,20808,Hybrid,201,Automatic,22599
1228,MINI,Mini,2018,12710,Petrol,189,Automatic,23999
1229,Peugeot,3008,2019,9917,Petrol,129,Manual,24999
1230,Nissan,Juke,2019,26754,Petrol,115,Manual,19599
1231,Dacia,Duster,2018,13240,Petrol,115,Manual,13999
1232,Jeep,Renegade,2019,24454,Petrol,148,Automatic,18599
1233,Nissan,Qashqai,2017,43620,Petrol,113,Manual,15999
1234,Volvo,XC40,2020,11282,Hybrid,194,Automatic,37599
1235,BMW,3,2020,10640,Petrol,255,Automatic,31999
1236,Seat,Leon,2018,22023,Petrol,129,Manual,14599
1237,Toyota,AYGO,2017,31187,Petrol,69,Manual,6999
1238,Mitsubishi,Outlander,2018,36190,Hybrid,200,Automatic,23995
1239,Citroen,C4,2017,25000,Petrol,80,Manual,10949
1240,Ford,Transit,2010,33632,Diesel,140,Manual,8994
1241,Nissan,Navara,2017,83923,Diesel,190,Automatic,17994
1242,Fiat,500L,2015,59831,Petrol,95,Manual,5995
1243,Nissan,Qashqai+2,2009,75000,Petrol,114,Manual,5799
1244,Peugeot,3008,2011,59781,Diesel,112,Manual,4495
1245,Ford,Ka+,2018,7110,Petrol,84,Manual,7000
1246,BMW,3,2018,24000,Petrol,181,Manual,19499
1247,Ford,S-MAX,2012,85491,Diesel,115,Manual,6495
1248,Volvo,V60,2015,82761,Petrol,286,Automatic,16495
1249,Ford,Fiesta,2017,22000,Petrol,99,Manual,9799
1250,Seat,Ibiza,2016,72823,Petrol,88,Manual,7995
1251,Toyota,AYGO,2017,62027,Petrol,69,Manual,6195
1252,Skoda,Fabia,2019,34000,Petrol,74,Manual,10599
1253,Ford,Fiesta,2019,39456,Petrol,99,Manual,13195
1254,Ford,Fiesta,2017,37844,Petrol,138,Manual,10295
1255,Honda,Jazz,2008,47412,Petrol,82,Automatic,4695
1256,Vauxhall,ADAM,2015,26000,Petrol,69,Manual,5995
1257,Ford,Transit,2015,56828,Diesel,123,Manual,16994
1258,MINI,Mini,2017,18837,Petrol,134,Manual,13599
1259,Volkswagen,Up,2018,11553,Petrol,74,Manual,10599
1260,Kia,Sportage,2017,26312,Petrol,130,Manual,14999
1261,Nissan,Qashqai,2018,17429,Petrol,113,Manual,11599
1262,MINI,Mini,2018,20696,Petrol,189,Manual,17599
1263,Nissan,Juke,2018,28016,Petrol,111,Automatic,15999
1264,Skoda,Fabia,2020,7200,Petrol,59,Manual,11599
1265,Peugeot,2008,2018,5024,Petrol,110,Automatic,16999
1266,Ford,Transit,2018,81731,Diesel,103,Manual,13994
1267,Ford,KA,2011,44597,Petrol,68,Manual,2991
1268,Ford,Puma,2020,4688,Petrol,153,Manual,25991
1269,Audi,S3,2018,26558,Petrol,306,Automatic,33900
1270,Audi,A3,2017,3255,Petrol,148,Automatic,25900
1271,Audi,Q3,2020,6890,Petrol,188,Automatic,46000
1272,Audi,Q2,2017,11700,Petrol,148,Manual,20900
1273,Vauxhall,Grandland,2020,12870,Petrol,128,Manual,22570
1274,Audi,A3,2020,7841,Petrol,148,Manual,28900
1275,Vauxhall,Corsa,2020,7693,Petrol,74,Manual,12950
1276,Ford,Focus,2020,6990,Diesel,118,Automatic,25210
1277,Fiat,500,2017,50097,Petrol,69,Manual,7775
1278,Peugeot,308,2010,48150,Petrol,118,Automatic,3995
1279,Ford,Focus,2018,33189,Petrol,123,Manual,13500
1280,Nissan,Qashqai,2016,40995,Petrol,113,Manual,11600
1281,Ford,Kuga,2018,18158,Petrol,180,Automatic,23360
1282,Volvo,XC60,2017,44270,Diesel,188,Automatic,29991
1283,Renault,Clio,2018,29285,Petrol,88,Manual,11300
1284,Nissan,Juke,2011,69000,Petrol,117,Manual,5495
1285,Ford,Fiesta,2015,67774,Petrol,99,Manual,6500
1286,SEAT,Ibiza,2017,23258,Petrol,94,Manual,10390
1287,Ford,Fiesta,2018,30728,Petrol,99,Manual,11491
1288,Mercedes-Benz,GLA,2016,58364,Diesel,134,Automatic,17260
1289,Peugeot,108,2016,29862,Petrol,68,Manual,6995
1290,Ford,Fiesta,2019,8644,Petrol,99,Manual,15991
1291,Ford,Fiesta,2019,22280,Petrol,99,Manual,14500
1292,Honda,HR-V,2019,3622,Petrol,180,Manual,25130
1293,Volkswagen,Polo,2020,21637,Petrol,79,Manual,15550
1294,Seat,Ibiza,2017,46063,Petrol,94,Manual,11990
1295,Seat,Ibiza,2019,20555,Petrol,114,Manual,16490
1296,Vauxhall,Astra,2016,25403,Petrol,148,Manual,10495
1297,Kia,Niro,2019,10249,Hybrid,140,Automatic,20972
1298,Peugeot,107,2012,51000,Petrol,68,Manual,3480
1299,Kia,Sportage,2018,11858,Petrol,174,Automatic,25961
1300,Kia,ceed,2008,94600,Petrol,120,Manual,2195
1301,Ford,Fiesta,2019,4409,Petrol,84,Manual,14195
1302,Audi,A1,2015,29000,Petrol,85,Manual,12475
1303,Volkswagen,Scirocco,2015,30000,Petrol,123,Manual,13475
1304,BMW,3,2008,61000,Petrol,215,Automatic,7995
1305,Chrysler,Sebring,2008,40649,Petrol,185,Automatic,3995
1306,Vauxhall,Mokka,2018,25238,Petrol,138,Automatic,14499
1307,Ford,Fiesta,2015,16185,Petrol,80,Manual,9815
1308,Fiat,500,2013,26000,Petrol,69,Manual,5500
1309,Ford,Fiesta,2019,10414,Petrol,99,Manual,13500
1310,Fiat,Panda,2015,58000,Petrol,69,Manual,4800
1311,Ford,Fiesta,2019,4877,Petrol,123,Manual,19500
1312,Ford,Fiesta,2013,52000,Petrol,99,Manual,7000
1313,Mercedes,GT,2016,14600,Petrol,456,Automatic,63500
1314,Volkswagen,Polo,2010,131000,Petrol,60,Manual,2995
1315,Ford,Focus,2020,8036,Petrol,123,Manual,21000
1316,Ford,Puma,2020,13906,Petrol,123,Manual,23000
1317,MINI,Mini,2019,2744,Petrol,189,Manual,22100
1318,Ford,Fiesta,2019,19668,Petrol,123,Manual,15699
1319,Ford,Ranger,2018,24333,Diesel,197,Automatic,28991
1320,Volkswagen,Golf,2016,53232,Petrol,227,Automatic,17820
1321,Honda,Civic,2018,16650,Petrol,180,Manual,20000
1322,Smart,forfour,2018,6500,Petrol,90,Automatic,12499
1323,Ford,Mondeo,2008,55000,Petrol,144,Manual,2995
1324,Volkswagen,Golf,2018,20733,Petrol,148,Manual,18187
1325,Vauxhall,Mokka,2018,11366,Petrol,138,Manual,15606
1326,Ford,Focus,2011,62445,Petrol,148,Manual,6470
1327,Mercedes-Benz,GLA-Class,2020,8764,Petrol,121,Manual,28000
1328,Audi,A3,2018,27983,Petrol,148,Manual,20750
1329,Vauxhall,Corsa,2015,66149,Petrol,89,Automatic,8495
1330,Jaguar,XE,2019,5319,Petrol,247,Automatic,31990
1331,Skoda,Karoq,2019,16025,Petrol,114,Manual,21990
1332,BMW,5,2014,91000,Diesel,255,Automatic,16999
1333,MG,ZS,2020,4732,Petrol,110,Automatic,18999
1334,Ford,Focus,2005,54000,Petrol,100,Manual,2495
1335,Porsche,Macan,2020,1600,Petrol,242,Automatic,60995
1336,Nissan,Qashqai,2020,6371,Petrol,158,Automatic,25999
1337,BMW,X3,2014,77000,Diesel,188,Automatic,16495
1338,Vauxhall,Crossland,2019,9850,Petrol,108,Manual,14500
1339,BMW,4,2018,18299,Petrol,181,Automatic,23850
1340,Ford,B-Max,2015,65077,Petrol,103,Automatic,7250
1341,Vauxhall,Corsa,2018,36000,Petrol,99,Manual,8949
1342,Vauxhall,Corsa,2019,6280,Petrol,74,Manual,10000
1343,Vauxhall,Astra,2019,15081,Petrol,148,Manual,13500
1344,Volvo,XC40,2019,28700,Petrol,244,Automatic,35000
1345,Audi,S3,2018,28000,Petrol,306,Automatic,27499
1346,Peugeot,208,2017,4000,Petrol,82,Automatic,13490
1347,Toyota,AYGO,2018,29121,Petrol,69,Automatic,10250
1348,MINI,Mini,2015,39468,Petrol,98,Manual,10350
1349,Vauxhall,Crossland,2021,650,Petrol,129,Automatic,24990
1350,MINI,Mini,2014,32891,Petrol,189,Manual,12500
1351,Audi,Q3,2018,11199,Petrol,148,Automatic,25799
1352,Vauxhall,Corsa,2013,42500,Petrol,83,Manual,4500
1353,Nissan,Note,2015,18637,Petrol,98,Manual,9799
1354,Ford,Focus,2015,69073,Petrol,123,Manual,7500
1355,Vauxhall,Corsa,2017,44870,Petrol,74,Manual,7890
1356,Vauxhall,Mokka,2019,18475,Petrol,138,Manual,15700
1357,Audi,A1,2018,36285,Petrol,93,Manual,13700
1358,Vauxhall,Mokka,2017,32618,Petrol,138,Automatic,13500
1359,Land,Rover,2012,67228,Petrol,240,Automatic,19000
1360,Ford,Focus,2011,81000,Petrol,123,Manual,5000
1361,Land,Rover,2018,22875,Petrol,518,Automatic,84495
1362,Honda,Civic,2017,70985,Petrol,127,Manual,11790
1363,BMW,X1,2018,26630,Petrol,138,Manual,20999
1364,Mazda,MX-5,2011,52170,Petrol,158,Manual,11495
1365,Audi,A1,2017,23065,Petrol,93,Manual,14799
1366,BMW,3,2021,17954,Petrol,154,Automatic,29999
1367,Volkswagen,Golf,2021,500,Hybrid,201,Automatic,33999
1368,Audi,TT,2017,81744,Diesel,182,Automatic,18570
1369,Ford,Fiesta,2019,23189,Petrol,94,Manual,14720
1370,Peugeot,208,2018,27393,Petrol,82,Manual,10091
1371,Renault,Kadjar,2018,7509,Petrol,130,Manual,17070
1372,Nissan,Qashqai,2016,36765,Diesel,108,Manual,13991
1373,Ford,Ecosport,2016,38866,Diesel,94,Manual,10740
1374,Renault,Zoe,2020,9069,Electric,134,Automatic,22491
1375,Volkswagen,Polo,2010,66981,Petrol,85,Manual,4991
1376,Honda,Jazz,2017,23737,Petrol,101,Manual,10660
1377,Mercedes-Benz,C,2016,45690,Diesel,170,Automatic,20460
1378,Volkswagen,Polo,2014,68000,Petrol,59,Manual,6990
