make,model,year,milage,fuel,horsepower,transmission,price
Peugeot,3008,2019,7743,Petrol,129,Automatic,30789
Land,Rover,2015,38134,Diesel,190,Automatic,24440
Peugeot,3008,2019,15685,Petrol,129,Automatic,29989
Ford,Focus,2019,19476,Petrol,123,Manual,18600
Seat,Ibiza,2020,5748,Petrol,94,Manual,13933
Ford,Focus,2020,12984,Petrol,123,Manual,19710
Ford,Fiesta,2018,11442,Petrol,99,Manual,15000
Ford,Kuga,2019,10741,Diesel,148,Manual,21990
Ford,Focus,2019,21183,Petrol,276,Manual,27960
Peugeot,3008,2018,15089,Petrol,165,Automatic,25989
Skoda,Octavia,2019,19607,Petrol,114,Automatic,16506
Fiat,500,2014,21376,Petrol,69,Manual,6210
Nissan,Juke,2021,269,Petrol,113,Automatic,25800
Mercedes-Benz,A,2020,10312,Petrol,221,Automatic,34790
Peugeot,3008,2019,12521,Petrol,129,Manual,25589
Peugeot,3008,2019,24783,Petrol,129,Automatic,28889
Nissan,Qashqai,2019,20001,Petrol,140,Manual,18995
Vauxhall,Crossland,2020,5900,Petrol,108,Manual,17980
Ford,Fiesta,2017,11780,Petrol,123,Manual,13530
BMW,X4,2016,62921,Diesel,255,Automatic,23910
Ford,Fiesta,2013,94152,Petrol,79,Manual,4980
Peugeot,3008,2018,8636,Petrol,130,Manual,26489
Ford,Focus,2014,47427,Petrol,99,Manual,6670
Toyota,Yaris,2016,19207,Hybrid,134,Automatic,14650
Ford,Focus,2020,16792,Petrol,123,Manual,20440
Volkswagen,Polo,2019,9348,Petrol,64,Manual,14700
Vauxhall,Grandland,2018,27260,Petrol,128,Automatic,19291
MINI,HATCH,2018,21845,Petrol,101,Manual,12050
Vauxhall,Corsa,2021,100,Petrol,99,Manual,17768
MINI,HATCH,2017,36880,Petrol,228,Manual,16991
Nissan,Juke,2020,7897,Petrol,115,Manual,20999
Vauxhall,Astra,2016,43212,Petrol,99,Manual,11495
Nissan,370Z,2017,27169,Petrol,339,Manual,28991
Citroen,Grand,2017,41691,Diesel,118,Automatic,16300
Porsche,944,1991,73471,Petrol,247,Automatic,30000
Ford,Focus,2005,79150,Petrol,101,Automatic,2295
Volkswagen,Golf,2013,80878,Diesel,108,Manual,7295
Peugeot,208,2016,53537,Petrol,208,Manual,9799
Kia,ceed,2019,43509,Petrol,138,Manual,15299
Mercedes-Benz,C-Class,2011,71192,Petrol,457,Automatic,21350
Audi,Q3,2017,23140,Petrol,148,Automatic,21425
Land,Rover,2005,146821,Diesel,174,Automatic,5995
Ford,Focus,2011,95946,Diesel,109,Manual,3995
Suzuki,Jimny,2005,142000,Petrol,80,Manual,3495
Ford,Fiesta,2017,29122,Petrol,99,Manual,9490
Vauxhall,Astra,2015,54000,Petrol,115,Manual,5000
Vauxhall,Corsa,2008,86000,Petrol,79,Manual,1995
Vauxhall,Insignia,2019,36479,Petrol,163,Manual,15990
Ford,Focus,2005,150242,Petrol,116,Manual,899
BMW,1,2014,72982,Petrol,134,Manual,8947
Vauxhall,Insignia,2018,17870,Petrol,163,Manual,15795
Audi,A3,2018,20808,Hybrid,201,Automatic,22599
MINI,Mini,2018,12710,Petrol,189,Automatic,23999
Peugeot,3008,2019,9917,Petrol,129,Manual,24999
Nissan,Juke,2019,26754,Petrol,115,Manual,19599
Dacia,Duster,2018,13240,Petrol,115,Manual,13999
Jeep,Renegade,2019,24454,Petrol,148,Automatic,18599
Nissan,Qashqai,2017,43620,Petrol,113,Manual,15999
Volvo,XC40,2020,11282,Hybrid,194,Automatic,37599
BMW,3,2020,10640,Petrol,255,Automatic,31999
Seat,Leon,2018,22023,Petrol,129,Manual,14599
Toyota,AYGO,2017,31187,Petrol,69,Manual,6999
Mitsubishi,Outlander,2018,36190,Hybrid,200,Automatic,23995
Citroen,C4,2017,25000,Petrol,80,Manual,10949
Ford,Transit,2010,33632,Diesel,140,Manual,8994
Nissan,Navara,2017,83923,Diesel,190,Automatic,17994
Fiat,500L,2015,59831,Petrol,95,Manual,5995
Nissan,Qashqai+2,2009,75000,Petrol,114,Manual,5799
Peugeot,3008,2011,59781,Diesel,112,Manual,4495
Ford,Ka+,2018,7110,Petrol,84,Manual,7000
BMW,3,2018,24000,Petrol,181,Manual,19499
Ford,S-MAX,2012,85491,Diesel,115,Manual,6495
Volvo,V60,2015,82761,Petrol,286,Automatic,16495
Ford,Fiesta,2017,22000,Petrol,99,Manual,9799
Seat,Ibiza,2016,72823,Petrol,88,Manual,7995
Toyota,AYGO,2017,62027,Petrol,69,Manual,6195
Skoda,Fabia,2019,34000,Petrol,74,Manual,10599
Ford,Fiesta,2019,39456,Petrol,99,Manual,13195
Ford,Fiesta,2017,37844,Petrol,138,Manual,10295
Honda,Jazz,2008,47412,Petrol,82,Automatic,4695
Vauxhall,ADAM,2015,26000,Petrol,69,Manual,5995
Ford,Transit,2015,56828,Diesel,123,Manual,16994
MINI,Mini,2017,18837,Petrol,134,Manual,13599
Volkswagen,Up,2018,11553,Petrol,74,Manual,10599
Kia,Sportage,2017,26312,Petrol,130,Manual,14999
Nissan,Qashqai,2018,17429,Petrol,113,Manual,11599
MINI,Mini,2018,20696,Petrol,189,Manual,17599
Nissan,Juke,2018,28016,Petrol,111,Automatic,15999
Skoda,Fabia,2020,7200,Petrol,59,Manual,11599
Peugeot,2008,2018,5024,Petrol,110,Automatic,16999
Ford,Transit,2018,81731,Diesel,103,Manual,13994
Ford,KA,2011,44597,Petrol,68,Manual,2991
Ford,Puma,2020,4688,Petrol,153,Manual,25991
Audi,S3,2018,26558,Petrol,306,Automatic,33900
Audi,A3,2017,3255,Petrol,148,Automatic,25900
Audi,Q3,2020,6890,Petrol,188,Automatic,46000
Audi,Q2,2017,11700,Petrol,148,Manual,20900
Vauxhall,Grandland,2020,12870,Petrol,128,Manual,22570
Audi,A3,2020,7841,Petrol,148,Manual,28900
Vauxhall,Corsa,2020,7693,Petrol,74,Manual,12950
Ford,Focus,2020,6990,Diesel,118,Automatic,25210
Fiat,500,2017,50097,Petrol,69,Manual,7775
Peugeot,308,2010,48150,Petrol,118,Automatic,3995
Ford,Focus,2018,33189,Petrol,123,Manual,13500
Nissan,Qashqai,2016,40995,Petrol,113,Manual,11600
Ford,Kuga,2018,18158,Petrol,180,Automatic,23360
Volvo,XC60,2017,44270,Diesel,188,Automatic,29991
Renault,Clio,2018,29285,Petrol,88,Manual,11300
Nissan,Juke,2011,69000,Petrol,117,Manual,5495
Ford,Fiesta,2015,67774,Petrol,99,Manual,6500
SEAT,Ibiza,2017,23258,Petrol,94,Manual,10390
Ford,Fiesta,2018,30728,Petrol,99,Manual,11491
Mercedes-Benz,GLA,2016,58364,Diesel,134,Automatic,17260
Peugeot,108,2016,29862,Petrol,68,Manual,6995
Ford,Fiesta,2019,8644,Petrol,99,Manual,15991
Ford,Fiesta,2019,22280,Petrol,99,Manual,14500
Honda,HR-V,2019,3622,Petrol,180,Manual,25130
Volkswagen,Polo,2020,21637,Petrol,79,Manual,15550
Seat,Ibiza,2017,46063,Petrol,94,Manual,11990
Seat,Ibiza,2019,20555,Petrol,114,Manual,16490
Vauxhall,Astra,2016,25403,Petrol,148,Manual,10495
Kia,Niro,2019,10249,Hybrid,140,Automatic,20972
Peugeot,107,2012,51000,Petrol,68,Manual,3480
Kia,Sportage,2018,11858,Petrol,174,Automatic,25961
Kia,ceed,2008,94600,Petrol,120,Manual,2195
Ford,Fiesta,2019,4409,Petrol,84,Manual,14195
Audi,A1,2015,29000,Petrol,85,Manual,12475
Volkswagen,Scirocco,2015,30000,Petrol,123,Manual,13475
BMW,3,2008,61000,Petrol,215,Automatic,7995
Chrysler,Sebring,2008,40649,Petrol,185,Automatic,3995
Vauxhall,Mokka,2018,25238,Petrol,138,Automatic,14499
Ford,Fiesta,2015,16185,Petrol,80,Manual,9815
Fiat,500,2013,26000,Petrol,69,Manual,5500
Ford,Fiesta,2019,10414,Petrol,99,Manual,13500
Fiat,Panda,2015,58000,Petrol,69,Manual,4800
Ford,Fiesta,2019,4877,Petrol,123,Manual,19500
Ford,Fiesta,2013,52000,Petrol,99,Manual,7000
Mercedes,GT,2016,14600,Petrol,456,Automatic,63500
Volkswagen,Polo,2010,131000,Petrol,60,Manual,2995
Ford,Focus,2020,8036,Petrol,123,Manual,21000
Ford,Puma,2020,13906,Petrol,123,Manual,23000
MINI,Mini,2019,2744,Petrol,189,Manual,22100
Ford,Fiesta,2019,19668,Petrol,123,Manual,15699
Ford,Ranger,2018,24333,Diesel,197,Automatic,28991
Volkswagen,Golf,2016,53232,Petrol,227,Automatic,17820
Honda,Civic,2018,16650,Petrol,180,Manual,20000
Smart,forfour,2018,6500,Petrol,90,Automatic,12499
Ford,Mondeo,2008,55000,Petrol,144,Manual,2995
Volkswagen,Golf,2018,20733,Petrol,148,Manual,18187
Vauxhall,Mokka,2018,11366,Petrol,138,Manual,15606
Ford,Focus,2011,62445,Petrol,148,Manual,6470
Mercedes-Benz,GLA-Class,2020,8764,Petrol,121,Manual,28000
Audi,A3,2018,27983,Petrol,148,Manual,20750
Vauxhall,Corsa,2015,66149,Petrol,89,Automatic,8495
Jaguar,XE,2019,5319,Petrol,247,Automatic,31990
Skoda,Karoq,2019,16025,Petrol,114,Manual,21990
BMW,5,2014,91000,Diesel,255,Automatic,16999
MG,ZS,2020,4732,Petrol,110,Automatic,18999
Ford,Focus,2005,54000,Petrol,100,Manual,2495
Porsche,Macan,2020,1600,Petrol,242,Automatic,60995
Nissan,Qashqai,2020,6371,Petrol,158,Automatic,25999
BMW,X3,2014,77000,Diesel,188,Automatic,16495
Vauxhall,Crossland,2019,9850,Petrol,108,Manual,14500
BMW,4,2018,18299,Petrol,181,Automatic,23850
Ford,B-Max,2015,65077,Petrol,103,Automatic,7250
Vauxhall,Corsa,2018,36000,Petrol,99,Manual,8949
Vauxhall,Corsa,2019,6280,Petrol,74,Manual,10000
Vauxhall,Astra,2019,15081,Petrol,148,Manual,13500
Volvo,XC40,2019,28700,Petrol,244,Automatic,35000
Audi,S3,2018,28000,Petrol,306,Automatic,27499
Peugeot,208,2017,4000,Petrol,82,Automatic,13490
Toyota,AYGO,2018,29121,Petrol,69,Automatic,10250
MINI,Mini,2015,39468,Petrol,98,Manual,10350
Vauxhall,Crossland,2021,650,Petrol,129,Automatic,24990
MINI,Mini,2014,32891,Petrol,189,Manual,12500
Audi,Q3,2018,11199,Petrol,148,Automatic,25799
Vauxhall,Corsa,2013,42500,Petrol,83,Manual,4500
Nissan,Note,2015,18637,Petrol,98,Manual,9799
Ford,Focus,2015,69073,Petrol,123,Manual,7500
Vauxhall,Corsa,2017,44870,Petrol,74,Manual,7890
Vauxhall,Mokka,2019,18475,Petrol,138,Manual,15700
Audi,A1,2018,36285,Petrol,93,Manual,13700
Vauxhall,Mokka,2017,32618,Petrol,138,Automatic,13500
Land,Rover,2012,67228,Petrol,240,Automatic,19000
Ford,Focus,2011,81000,Petrol,123,Manual,5000
Land,Rover,2018,22875,Petrol,518,Automatic,84495
Honda,Civic,2017,70985,Petrol,127,Manual,11790
BMW,X1,2018,26630,Petrol,138,Manual,20999
Mazda,MX-5,2011,52170,Petrol,158,Manual,11495
Audi,A1,2017,23065,Petrol,93,Manual,14799
BMW,3,2021,17954,Petrol,154,Automatic,29999
Volkswagen,Golf,2021,500,Hybrid,201,Automatic,33999
Audi,TT,2017,81744,Diesel,182,Automatic,18570
Ford,Fiesta,2019,23189,Petrol,94,Manual,14720
Peugeot,208,2018,27393,Petrol,82,Manual,10091
Renault,Kadjar,2018,7509,Petrol,130,Manual,17070
Nissan,Qashqai,2016,36765,Diesel,108,Manual,13991
Ford,Ecosport,2016,38866,Diesel,94,Manual,10740
Renault,Zoe,2020,9069,Electric,134,Automatic,22491
Volkswagen,Polo,2010,66981,Petrol,85,Manual,4991
Honda,Jazz,2017,23737,Petrol,101,Manual,10660
Mercedes-Benz,C,2016,45690,Diesel,170,Automatic,20460
Volkswagen,Polo,2014,68000,Petrol,59,Manual,6990
Jaguar,F-TYPE,2020,6800,Petrol,296,Automatic,39990
Volvo,V40,2015,41098,Petrol,120,Manual,11899
Mazda,Mazda3,2018,7322,Petrol,163,Manual,16999
Volkswagen,Golf,2019,9609,Petrol,241,Automatic,27999
Peugeot,208,2021,2123,Petrol,129,Automatic,23991
Ford,Focus,2007,75000,Petrol,116,Manual,1595
Audi,A4,2018,34589,Petrol,148,Manual,22999
Ford,Focus,2015,67842,Petrol,99,Manual,7599
Ford,Focus,2020,22787,Petrol,123,Manual,17999
Volkswagen,Polo,2019,8786,Petrol,94,Manual,16999
Citroen,C3,2018,25091,Petrol,67,Manual,9999
Ford,Focus,2012,89636,Petrol,123,Manual,4995
Skoda,Octavia,2014,110200,Diesel,103,Manual,6990
Audi,A1,2017,13830,Petrol,148,Automatic,17995
Toyota,AYGO,2016,35930,Petrol,69,Manual,6875
Renault,Captur,2017,75000,Petrol,90,Manual,9500
BMW,1,2016,44490,Petrol,322,Automatic,20495
Peugeot,207,2010,80000,Petrol,72,Manual,2000
Jaguar,XF,2010,57030,Petrol,238,Automatic,8495
Nissan,Note,2013,42536,Petrol,87,Manual,4995
Fiat,500,2013,65000,Petrol,69,Manual,4394
Peugeot,208,2018,13484,Petrol,82,Manual,12131
Hyundai,Tucson,2019,18736,Petrol,174,Automatic,23364
Volvo,V40,2017,19412,Petrol,150,Automatic,20545
Jeep,Wrangler,2019,16850,Petrol,268,Automatic,42850
Vauxhall,Corsa,2017,12682,Petrol,89,Manual,9938
Mercedes-Benz,C-Class,2018,140000,Hybrid,275,Automatic,15980
Honda,Jazz,2013,44000,Hybrid,98,Automatic,9000
Volkswagen,Golf,2015,43233,Petrol,298,Manual,19999
Ferrari,F430,2007,21356,Petrol,479,Manual,89999
Audi,A4,2016,93599,Diesel,148,Automatic,14450
Vauxhall,Corsa,2019,5370,Petrol,74,Manual,11291
Peugeot,3008,2019,26666,Petrol,129,Automatic,28789
BMW,X1,2017,23262,Diesel,188,Automatic,26750
Audi,A5,2018,28398,Petrol,188,Manual,23700
BMW,4,2015,40950,Diesel,188,Automatic,18310
Ford,Focus,2019,18737,Petrol,125,Manual,20040
Ford,Fiesta,2019,40429,Petrol,123,Manual,13330
Mercedes-Benz,E-Class,2019,17292,Petrol,241,Automatic,35700
Peugeot,208,2017,29244,Petrol,82,Manual,9769
Vauxhall,Crossland,2019,9269,Petrol,82,Manual,14600
Dacia,Sandero,2019,21456,Petrol,72,Manual,9360
Audi,A3,2014,32361,Diesel,108,Manual,10201
Mercedes-Benz,C-Class,2019,60773,Petrol,154,Automatic,19800
Toyota,Yaris,2008,67909,Petrol,86,Manual,2690
Land,Rover,2014,46827,Diesel,190,Automatic,17890
Audi,A1,2012,80096,Diesel,105,Manual,7310
Nissan,Micra,2019,6098,Petrol,88,Manual,12900
Citroen,C4,2017,29323,Petrol,80,Manual,10230
Nissan,Qashqai,2018,28061,Petrol,113,Manual,18470
Nissan,Juke,2018,24761,Petrol,111,Automatic,15990
BMW,3,2013,61143,Diesel,181,Automatic,11280
Nissan,Micra,2021,3626,Petrol,91,Manual,14990
Nissan,Qashqai,2019,20938,Petrol,140,Manual,18990
Mazda,Mazda2,2018,15458,Petrol,89,Manual,12750
Toyota,Yaris,2017,33000,Petrol,99,Automatic,11995
Honda,HR-V,2016,12944,Petrol,129,Manual,14199
Vauxhall,Corsa,2018,29027,Petrol,74,Manual,8903
Alfa,Romeo,2017,35664,Petrol,240,Automatic,16499
Renault,Captur,2016,14999,Petrol,90,Manual,12399
Vauxhall,Corsa,2015,47364,Petrol,69,Manual,6499
Fiat,500,2017,3390,Petrol,69,Manual,7799
Fiat,500,2016,31101,Petrol,69,Manual,6999
Peugeot,2008,2018,17079,Petrol,82,Manual,13799
Peugeot,108,2017,8076,Petrol,68,Manual,8399
Renault,Clio,2018,24908,Petrol,75,Manual,11299
Mazda,CX-3,2019,29139,Petrol,119,Manual,18750
Fiat,500C,2015,16706,Petrol,69,Automatic,9699
Volkswagen,Polo,2019,9363,Petrol,79,Manual,16299
Kia,Sportage,2018,37990,Petrol,130,Manual,16999
Mazda,CX-3,2019,12032,Petrol,119,Manual,19000
MINI,Mini,2015,46588,Petrol,189,Manual,12999
Vauxhall,ADAM,2015,27847,Petrol,69,Manual,7999
Ford,Fiesta,2013,46386,Petrol,80,Manual,6299
MINI,Mini,2013,72800,Diesel,141,Automatic,8995
Mercedes-Benz,E-Class,2019,3890,Petrol,429,Automatic,54499
Seat,Ibiza,2016,26662,Petrol,88,Manual,10499
Vauxhall,Mokka,2017,44414,Petrol,113,Manual,12499
Seat,Ibiza,2019,24292,Petrol,114,Manual,15999
Mercedes,GLS,2021,78,Diesel,326,Automatic,99850
Volkswagen,up!,2018,10912,Petrol,74,Manual,11299
Mazda,CX-3,2019,5289,Petrol,119,Manual,21250
Mazda,CX-3,2016,46767,Petrol,148,Manual,14500
Vauxhall,Mokka,2017,29668,Petrol,138,Manual,12826
Citroen,C1,2018,16693,Petrol,68,Manual,8299
Porsche,Boxster,2007,76375,Petrol,241,Manual,12500
Renault,Clio,2018,35342,Petrol,88,Manual,10599
Lexus,RX,2014,98669,Hybrid,299,Automatic,18499
Vauxhall,ADAM,2015,47000,Petrol,69,Manual,7499
Seat,Ibiza,2015,46862,Petrol,84,Manual,6995
Ford,Fiesta,2020,7236,Petrol,99,Manual,16899
Seat,Arona,2021,9089,Petrol,108,Manual,20999
Seat,Leon,2018,20001,Petrol,296,Automatic,25499
MINI,Mini,2015,31000,Petrol,189,Manual,13259
Audi,A3,2017,84297,Diesel,114,Manual,11985
Skoda,Fabia,2017,44500,Petrol,109,Manual,8995
Vauxhall,Mokka,2019,12240,Petrol,138,Automatic,17553
Audi,A1,2014,42364,Petrol,122,Manual,9658
Audi,S5,2017,54058,Petrol,349,Automatic,29999
Fiat,500,2014,53000,Petrol,69,Manual,4595
Volkswagen,Polo,2018,38969,Petrol,64,Manual,12500
Audi,Q2,2021,3626,Petrol,148,Automatic,31999
Citroen,C4,2013,29000,Petrol,94,Manual,5495
Ford,Focus,2010,80000,Petrol,100,Automatic,4575
BMW,3,2012,102000,Diesel,161,Automatic,8299
Ford,Focus,2009,101000,Petrol,100,Manual,2499
MINI,Mini,2019,10372,Petrol,134,Automatic,24599
Volkswagen,T-Roc,2019,10000,Petrol,148,Manual,23699
Ford,Focus,2018,36599,Petrol,99,Manual,12692
Peugeot,2008,2020,19767,Petrol,129,Automatic,22473
Kia,Stonic,2021,1612,Petrol,99,Automatic,18999
PORSCHE,911,2012,53200,Petrol,400,SemiAutomatic,59995
Volkswagen,Golf,2010,27191,Petrol,105,Manual,6495
Seat,Altea,2015,40473,Diesel,105,Manual,6989
Hyundai,i10,2011,45000,Petrol,85,Manual,3995
Vauxhall,Corsa,2015,31138,Petrol,202,Manual,10950
BMW,3,2020,14444,Petrol,181,Automatic,27999
MINI,Mini,2019,9701,Petrol,134,Manual,15999
BMW,2,2018,27226,Petrol,138,Manual,18999
BMW,2,2018,21676,Petrol,138,Manual,20999
Renault,Captur,2018,26494,Petrol,90,Manual,12599
Audi,A5,2018,29220,Petrol,188,Manual,24999
Vauxhall,Corsa,2019,9481,Petrol,89,Manual,9599
Ford,Focus,2020,5218,Petrol,123,Manual,19599
Renault,Captur,2018,14619,Petrol,90,Manual,13500
Dacia,Sandero,2019,26440,Petrol,90,Manual,9500
Vauxhall,Astra,2010,78957,Petrol,113,Manual,3295
Audi,A3,2010,138000,Petrol,123,Manual,3495
Vauxhall,Astra,2021,50,Petrol,144,Manual,16320
Toyota,Yaris,2018,13682,Hybrid,99,Automatic,14600
Ford,Fiesta,2010,108635,Petrol,80,Manual,1995
Peugeot,108,2017,19706,Petrol,82,Manual,7990
Hyundai,Tucson,2016,34608,Petrol,130,Manual,14690
Vauxhall,Astra,2018,33389,Petrol,148,Manual,11390
Audi,A3,2011,123055,Petrol,197,Automatic,5750
Honda,Jazz,2019,7136,Petrol,101,Automatic,15690
Vauxhall,Zafira,2008,99000,Petrol,105,Manual,1595
Hyundai,Tucson,2021,114,Petrol,174,Automatic,24420
Ford,EcoSport,2015,29000,Petrol,110,Manual,8695
Vauxhall,Corsa,2007,86000,Petrol,90,Manual,1995
Citroen,C1,2008,79000,Petrol,67,Manual,1995
Kia,Sportage,2021,2278,Petrol,174,Automatic,28995
Ford,Focus,2017,22000,Petrol,123,Manual,13995
Nissan,Qashqai,2012,58968,Diesel,130,Manual,8999
BMW,3,2021,3566,Hybrid,288,Automatic,37999
Vauxhall,Corsa,2014,64448,Petrol,83,Manual,4795
Kia,Rio,2012,79203,Petrol,107,Automatic,4950
Audi,A6,2008,69611,Diesel,233,Automatic,3999
Volkswagen,Golf,2015,38598,Petrol,298,Automatic,20000
Mercedes-Benz,E-Class,2008,137609,Diesel,221,Automatic,3999
Seat,Leon,2011,100879,Petrol,123,Manual,3889
Volkswagen,Polo,2006,84960,Petrol,55,Manual,1889
BMW,3,2013,90601,Diesel,181,Manual,9999
Vauxhall,Corsa,2013,76408,Petrol,189,Manual,5999
Fiat,500,2011,75663,Petrol,69,Automatic,4499
BMW,1,2018,24613,Petrol,134,Manual,16299
Fiat,500,2017,38451,Petrol,69,Manual,7550
Citroen,DS3,2014,32005,Petrol,156,Manual,6100
Audi,A4,2018,27291,Petrol,148,Automatic,21975
Volkswagen,Golf,2018,27166,Petrol,128,Manual,17100
Peugeot,208,2020,997,Petrol,74,Manual,16250
Ssangyong,Tivoli,2019,5937,Petrol,126,Automatic,15300
Audi,A3,2019,35738,Petrol,148,Manual,17700
Nissan,Juke,2018,8624,Petrol,115,Manual,14750
Mercedes-Benz,GLA-Class,2019,31235,Petrol,121,Automatic,23575
Hyundai,IONIQ,2018,9658,Hybrid,140,Automatic,18550
Kia,Stonic,2018,36718,Petrol,118,Manual,14725
A,Beautifully,2006,25223,Petrol,95,Manual,5995
2014,MERCEDES-BENZ,2014,50,Petrol,591,Automatic,140000
2020,Bentley,2020,1322,Petrol,542,Automatic,169950
2010,PORSCHE,2010,184,Petrol,402,Manual,150000
AUDI,A5,2015,59250,Diesel,187,Automatic,15250
Mercedes,C,2010,81918,Petrol,451,Automatic,18250
FERRARI,F430,2009,9850,Petrol,506,SemiAutomatic,330000
2001,FERRARI,2001,8700,Petrol,478,Manual,290000
PORSCHE,911,2010,12500,Petrol,620,Manual,395000
Mercedes-Benz,GLE-Class,2017,30886,Diesel,201,Automatic,35999
Mercedes-Benz,C-Class,2020,5608,Diesel,191,Automatic,32999
Mercedes-Benz,E-Class,2019,27610,Diesel,191,Automatic,30499
Mercedes-Benz,GLC-Class,2020,9509,Petrol,503,Automatic,78999
Mercedes-Benz,EQC,2020,4382,Electric,402,Automatic,69899
Mercedes-Benz,A-Class,2021,5425,Electric,259,Automatic,35499
Mercedes-Benz,CLS-Class,2019,25861,Petrol,429,Automatic,53999
Mercedes-Benz,GLC,2019,12755,Diesel,241,Automatic,39999
AUDI,A1,2012,87000,Diesel,105,Manual,6495
Land,Rover,2015,55300,Diesel,190,Manual,19850
MINI,Hatch,2016,82400,Diesel,94,Manual,8395
LAND,ROVER,2016,16700,Diesel,122,Manual,71995
Land,Rover,2011,91900,Diesel,313,Automatic,15995
AUDI,A6,2015,67178,Diesel,188,SemiAutomatic,19275
Mazda,MX-5,2017,19600,Petrol,158,Manual,20995
Land,Rover,2018,26000,Diesel,255,Automatic,57950
LAND,ROVER,2012,81000,Diesel,255,Automatic,14500
Mercedes-AMG,SL,2017,12000,Petrol,621,Automatic,89990
LAND,ROVER,2015,36000,Diesel,122,Manual,37990
1.2,8V,2018,3504,Petrol,68,Manual,9995
Porsche,Macan,2016,54500,Petrol,400,Automatic,45940
2,TDI,2010,104000,Diesel,170,Manual,6995
3,GLE450,2016,44000,Petrol,362,Automatic,39980
2005,PORSCHE,2005,49750,Petrol,414,Automatic,47500
718,Cayman,2018,3125,Petrol,295,Manual,44990
2010,10,2010,68005,Petrol,300,Manual,25750
2009,59,2009,89152,Diesel,241,Automatic,7990
2015,65,2015,63990,Diesel,217,Manual,18995
2019,19,2019,22000,Petrol,138,Manual,17995
2013,63,2013,98381,Diesel,258,Automatic,18990
2016,16,2016,39000,Petrol,218,Manual,17995
2015,15,2015,62735,Diesel,255,Automatic,29995
2019,68,2019,32000,Diesel,188,Automatic,26480
2019,9,2019,31000,Diesel,187,SemiAutomatic,32995
2019,19,2019,12700,Diesel,188,SemiAutomatic,29980
2017,LAND,2017,34500,Diesel,255,Automatic,63995
2014,64,2014,64000,Petrol,69,Manual,4195
2016,16,2016,12370,Petrol,158,Manual,18995
2015,15,2015,55700,Diesel,180,Automatic,23990
2014,14,2014,41252,Petrol,68,Manual,5900
2015,15,2015,73100,Diesel,113,Manual,6995
2017,17,2017,65197,Hybrid,315,Automatic,39900
Mercedes-Benz,C,2018,24739,Diesel,170,Automatic,24890
Mercedes-Benz,A,2018,25115,Petrol,161,Automatic,24900
Mercedes-Benz,CLA,2019,20343,Petrol,188,Automatic,28980
Mercedes-Benz,Glc,2018,23280,Petrol,208,Automatic,36980
Mazda,Cx-30,2020,8631,Petrol,121,Manual,23495
BMW,X1,2014,61439,Diesel,181,Automatic,12990
Audi,A4,2018,49497,Petrol,148,Manual,15990
Vauxhall,Astra,2017,48738,Petrol,148,Manual,11495
Audi,A1,2018,12900,Petrol,93,Manual,15990
BMW,X5,2019,17891,Diesel,261,Automatic,58495
Volkswagen,Golf,2017,28508,Petrol,227,SemiAutomatic,24995
Audi,Q5,2020,11844,Diesel,188,Automatic,39490
Volkswagen,Tiguan,2021,2001,Petrol,148,SemiAutomatic,31995
Audi,Q4,2021,5452,Electric,168,Automatic,59990
Mercedes-Benz,SL,2012,20577,Petrol,306,Automatic,28995
Audi,TT,2017,31971,Diesel,182,Automatic,23990
BMW,4,2021,6120,Petrol,181,Automatic,43390
Porsche,911,2018,28495,Petrol,444,SemiAutomatic,99845
Porsche,718,2016,35460,Petrol,345,SemiAutomatic,49845
Audi,Q3,2021,3000,Hybrid,241,Automatic,42990
BMW,4,2021,10,Petrol,369,Automatic,52995
Ford,Fiesta,2018,37524,Petrol,123,Manual,12750
Ford,Focus,2020,15319,Petrol,123,Manual,18597
MINI,Hatch,2012,15275,Petrol,184,Automatic,26295
Audi,Q3,2017,38008,Petrol,148,Automatic,25990
Kia,Sportage,2018,64000,Diesel,114,Manual,17180
Porsche,Macan,2018,24985,Petrol,340,SemiAutomatic,51845
Porsche,Macan,2016,40461,Petrol,355,SemiAutomatic,51845
BMW,3,2021,4461,Hybrid,288,Automatic,41995
Ford,Focus,2019,12644,Petrol,123,Manual,19197
Audi,Q3,2019,28961,Petrol,148,Manual,27950
Audi,RS,2020,10999,Petrol,394,Automatic,55990
Mercedes-Benz,Glc,2019,11918,Diesel,191,Automatic,41780
BMW,4,2015,75000,Diesel,255,Automatic,17900
Porsche,718,2017,12189,Petrol,295,SemiAutomatic,47845
Audi,A6,2018,15211,Diesel,282,SemiAutomatic,39990
BMW,5,2014,54514,Diesel,188,Automatic,17000
Jaguar,F-TYPE,2018,9627,Petrol,542,Automatic,62000
Mercedes-Benz,Glc,2017,38638,Diesel,168,Automatic,27980
Bentley,Bentayga,2018,33000,Petrol,542,Automatic,105000
Ford,Kuga,2020,13547,Hybrid,222,CVT,34997
Mercedes-Benz,Glc,2019,26808,Diesel,191,Automatic,37980
BMW,3,2021,4405,Petrol,181,Automatic,35590
Mercedes-Benz,CLA,2015,70000,Petrol,122,Automatic,17900
Mercedes-Benz,GLA,2019,21493,Petrol,121,Manual,23980
BMW,X3,2018,22191,Diesel,261,Automatic,34750
Porsche,Cayenne,2017,20133,Diesel,258,Automatic,44000
Mercedes-Benz,A,2018,24379,Petrol,121,Automatic,20000
Land,Rover,2015,20000,Diesel,122,Manual,57995
